DATE,M1REAL_CCH,
2007/1/1,-1.1294,-0.011294
2007/4/1,-0.50441,-0.0050441
2007/7/1,-0.70846,-0.0070846
2007/10/1,-1.19713,-0.0119713
2008/1/1,-0.54753,-0.0054753
2008/4/1,-0.26203,-0.0026203
2008/7/1,0.85547,0.0085547
2008/10/1,9.11048,0.0911048
2009/1/1,3.61714,0.0361714
2009/4/1,2.77703,0.0277703
2009/7/1,1.15955,0.0115955
2009/10/1,0.53398,0.0053398
2010/1/1,0.49269,0.0049269
2010/4/1,1.09658,0.0109658
2010/7/1,1.60185,0.0160185
2010/10/1,3.05611,0.0305611
2011/1/1,2.04867,0.0204867
2011/4/1,1.98042,0.0198042
2011/7/1,6.7902,0.067902
2011/10/1,3.14375,0.0314375
2012/1/1,2.03192,0.0203192
2012/4/1,1.89366,0.0189366
2012/7/1,3.52356,0.0352356
2012/10/1,2.81636,0.0281636
2013/1/1,1.21801,0.0121801
2013/4/1,2.11714,0.0211714
2013/7/1,0.84479,0.0084479
2013/10/1,2.58119,0.0258119
2014/1/1,2.66908,0.0266908
2014/4/1,2.19457,0.0219457
2014/7/1,0.98741,0.0098741
2014/10/1,2.42398,0.0242398
2015/1/1,3.49899,0.0349899
2015/4/1,0.00789,0.0000789
2015/7/1,0.80435,0.0080435
2015/10/1,0.86005,0.0086005
2016/1/1,2.03088,0.0203088
2016/4/1,2.51593,0.0251593
2016/7/1,1.64037,0.0164037
2016/10/1,0.71245,0.0071245
2017/1/1,1.39557,0.0139557
2017/4/1,2.43702,0.0243702
2017/7/1,1.4397,0.014397
2017/10/1,0.42288,0.0042288
2018/1/1,0.04105,0.0004105
2018/4/1,-0.11179,-0.0011179
2018/7/1,0.2963,0.002963
2018/10/1,0.54246,0.0054246
2019/1/1,0.36377,0.0036377
2019/4/1,0.80865,0.0080865
2019/7/1,1.35987,0.0135987
2019/10/1,1.39605,0.0139605
2020/1/1,2.92959,0.0292959
2020/4/1,21.5906,0.215906
2020/7/1,6.27103,0.0627103
2020/10/1,11.18005,0.1118005
2021/1/1,.,#VALUE!
